Date,Low,High,value,Volume
2017-01-02,109.3,110.8,110.3,2330417
2017-01-03,110.11,112.09,110.68,882614
2017-01-04,110.53,111.7,111.03,449615
2017-01-05,109.4,110.73,110,746100
2017-01-06,109.8,112,111.61,700163
2017-01-09,111.6,113.1,112.46,1297576
2017-01-10,111.8,112.9,112.75,1691504
2017-01-11,111.83,113.86,112.17,1521071
2017-01-12,110.94,112.6,111.76,1073743
2017-01-13,111.6,112.5,111.76,1149538
2017-01-16,111.72,112.45,112,861942
2017-01-17,110,112.29,112.08,848050
2017-01-18,112,112.7,112.35,528968
2017-01-19,111.99,113.09,112.71,778900
2017-01-20,112.14,113.1,112.14,610841
2017-01-23,111.04,112.5,111.74,366744
2017-01-24,110.9,111.73,111.51,734456
2017-01-25,111.7,113.65,113.65,1221101
2017-01-26,113.2,114.38,114,1302214
2017-01-27,113.7,114.46,114.03,739897
2017-01-30,112.9,113.99,113.35,1268146
2017-01-31,111.78,113.5,111.91,988174